Local time,Open,High,Low,Close,Volume
16.07.2003 05:00:00.000 GMT+0800,117.812,118.669,117.755,118.133,589552.9960000002
17.07.2003 05:00:00.000 GMT+0800,118.129,118.953,117.849,118.733,587243.6055
18.07.2003 05:00:00.000 GMT+0800,118.756,119.224,118.227,118.354,586894.1074
19.07.2003 05:00:00.000 GMT+0800,118.354,118.354,118.354,118.354,0
20.07.2003 05:00:00.000 GMT+0800,118.354,118.354,118.354,118.354,0
21.07.2003 05:00:00.000 GMT+0800,118.504,118.769,118.218,118.435,578698.8047000001
22.07.2003 05:00:00.000 GMT+0800,118.450,119.396,118.384,119.063,573239.8066
23.07.2003 05:00:00.000 GMT+0800,119.066,119.140,118.578,118.852,581170.1982999999
24.07.2003 05:00:00.000 GMT+0800,118.811,119.302,118.514,118.899,588377.5958
25.07.2003 05:00:00.000 GMT+0800,118.900,119.283,118.524,118.826,585211.0039
26.07.2003 05:00:00.000 GMT+0800,118.826,118.826,118.826,118.826,0
27.07.2003 05:00:00.000 GMT+0800,118.826,118.826,118.826,118.826,0
28.07.2003 05:00:00.000 GMT+0800,119.226,119.608,118.757,119.362,580588.5967999999
29.07.2003 05:00:00.000 GMT+0800,119.371,119.926,119.063,119.879,582945.8945
30.07.2003 05:00:00.000 GMT+0800,119.844,120.735,119.583,120.215,583660.1895000001
31.07.2003 05:00:00.000 GMT+0800,120.258,120.610,119.700,120.507,580535.4023000001
01.08.2003 05:00:00.000 GMT+0800,120.518,120.694,119.768,119.994,560145.1056
02.08.2003 05:00:00.000 GMT+0800,119.994,119.994,119.994,119.994,0
03.08.2003 05:00:00.000 GMT+0800,119.994,119.994,119.994,119.994,0
04.08.2003 05:00:00.000 GMT+0800,120.128,120.586,119.634,120.299,587998.0976999999
05.08.2003 05:00:00.000 GMT+0800,120.291,120.617,119.703,119.796,584298.1934999999
06.08.2003 05:00:00.000 GMT+0800,119.826,120.420,119.680,120.226,584568.2871
07.08.2003 05:00:00.000 GMT+0800,120.246,120.282,118.795,118.921,584987.5938
08.08.2003 05:00:00.000 GMT+0800,118.923,119.246,118.786,118.974,369147.7041
09.08.2003 05:00:00.000 GMT+0800,118.974,118.974,118.974,118.974,0
10.08.2003 05:00:00.000 GMT+0800,118.974,118.974,118.974,118.974,0
11.08.2003 05:00:00.000 GMT+0800,119.050,119.093,118.151,118.535,580505.3027
12.08.2003 05:00:00.000 GMT+0800,118.541,118.745,118.336,118.686,629212.3047000001
13.08.2003 05:00:00.000 GMT+0800,118.673,119.446,118.477,119.083,633035.9005000001
14.08.2003 05:00:00.000 GMT+0800,119.045,119.659,118.862,119.093,618187.3067
15.08.2003 05:00:00.000 GMT+0800,119.095,119.449,118.736,119.163,594811.9921999999
16.08.2003 05:00:00.000 GMT+0800,119.163,119.163,119.163,119.163,0
17.08.2003 05:00:00.000 GMT+0800,119.163,119.163,119.163,119.163,0
18.08.2003 05:00:00.000 GMT+0800,119.182,119.748,119.039,119.402,611336.6968
19.08.2003 05:00:00.000 GMT+0800,119.408,119.764,118.203,118.315,619320.3975999999
20.08.2003 05:00:00.000 GMT+0800,118.337,118.758,117.761,118.023,631548.5996000001
21.08.2003 05:00:00.000 GMT+0800,118.122,118.206,117.498,117.753,620509.0049
22.08.2003 05:00:00.000 GMT+0800,117.774,118.034,117.281,117.490,615246.4942
23.08.2003 05:00:00.000 GMT+0800,117.490,117.490,117.490,117.490,0
24.08.2003 05:00:00.000 GMT+0800,117.490,117.490,117.490,117.490,0
25.08.2003 05:00:00.000 GMT+0800,117.587,117.675,117.114,117.285,616834.5907
26.08.2003 05:00:00.000 GMT+0800,117.272,117.758,117.141,117.300,630440.6103999999
27.08.2003 05:00:00.000 GMT+0800,117.320,117.984,117.263,117.382,623687.2032999999
28.08.2003 05:00:00.000 GMT+0800,117.373,117.610,117.187,117.263,625879.8975999999
29.08.2003 05:00:00.000 GMT+0800,117.263,117.397,116.130,116.872,629280.9961999998
30.08.2003 05:00:00.000 GMT+0800,116.872,116.872,116.872,116.872,0
31.08.2003 05:00:00.000 GMT+0800,116.872,116.872,116.872,116.872,0
01.09.2003 05:00:00.000 GMT+0800,116.692,116.803,116.310,116.520,523145
02.09.2003 05:00:00.000 GMT+0800,116.547,117.231,115.806,116.533,616280.3936
03.09.2003 05:00:00.000 GMT+0800,116.528,116.568,115.830,115.834,632146.2100000001
04.09.2003 05:00:00.000 GMT+0800,115.822,117.064,115.723,116.686,617373.9931
05.09.2003 05:00:00.000 GMT+0800,116.688,117.149,116.419,116.767,619432.206
06.09.2003 05:00:00.000 GMT+0800,116.767,116.767,116.767,116.767,0
07.09.2003 05:00:00.000 GMT+0800,116.767,116.767,116.767,116.767,0
08.09.2003 05:00:00.000 GMT+0800,116.777,117.698,116.352,116.794,632912.3087
09.09.2003 05:00:00.000 GMT+0800,116.785,116.944,116.044,116.791,617213.5079
10.09.2003 05:00:00.000 GMT+0800,116.790,117.236,116.595,117.025,619729.295
11.09.2003 05:00:00.000 GMT+0800,117.045,117.250,116.535,117.048,618841.5088
12.09.2003 05:00:00.000 GMT+0800,117.070,117.484,116.707,117.244,610135.1954000001
13.09.2003 05:00:00.000 GMT+0800,117.244,117.244,117.244,117.244,0
14.09.2003 05:00:00.000 GMT+0800,117.244,117.244,117.244,117.244,0
15.09.2003 05:00:00.000 GMT+0800,117.251,117.670,117.175,117.427,608154.6104
16.09.2003 05:00:00.000 GMT+0800,117.440,117.448,115.992,116.136,613863.292
17.09.2003 05:00:00.000 GMT+0800,116.130,116.481,115.833,115.982,626804.9932
18.09.2003 05:00:00.000 GMT+0800,115.986,116.150,114.731,115.201,618432.0059000001
19.09.2003 05:00:00.000 GMT+0800,115.217,115.491,113.585,113.908,623794.3107
20.09.2003 05:00:00.000 GMT+0800,113.908,113.908,113.908,113.908,0
21.09.2003 05:00:00.000 GMT+0800,113.908,113.908,113.908,113.908,0
